Latest Layoff,Company,Total Laid Off to Date,Industry
12/8/2008,Anheuser-Busch Co.,1400,Food
12/8/2008,Wyndham Worldwide,4000,Leisure
12/5/2008,Cablevision,100,Media
12/5/2008,Staples,140,Retailing
12/4/2008,Steel Dynamics,65,Materials
12/4/2008,Windstream,170,Telecommunications
12/3/2008,Gannett,2000,Media
12/3/2008,Jefferies Group,300,Financials
12/3/2008,Viacom,850,Media
12/1/2008,PepsiCo,87,Food
11/25/2008,Dana Holding,50,Durables
11/21/2008,Western Union,200,Business Services
11/20/2008,Bank of New York Mellon,1800,Banking
11/12/2008,Morgan Stanley,2000,Finance
11/12/2008,Liberty Media,910,Retailing
11/11/2008,AK Steel Holding,800,Materials
11/6/2008,Mattel,1000,Household
11/6/2008,MGM Mirage,400,Leisure
11/4/2008,Hartford Financial Services Group,500,Finance
