,Company,Location,# Laid Off,Date,Source,$ Raised (mm),%,List of Employees Laid Off
413,MasterClass,['SF Bay Area'],120.0,2022-06-22T00:00:00.000Z,https://techcrunch.com/2022/06/22/masterclass-cuts-20-of-600-person-staff-to-get-to-self-sustainability-faster/,461.0,0.2,https://docs.google.com/spreadsheets/d/1nAlPKtYWnHFyO6piehgqZyqBGXJPBJZ22nQ-mbPM_5E/edit?usp=sharing
424,SummerBio,['SF Bay Area'],101.0,2022-06-20T00:00:00.000Z,https://www.bizjournals.com/sanfrancisco/inno/stories/news/2022/06/20/covid-testing-startup-summerbio-is-cutting-jobs.html,7.0,1.0,
431,Weee!,['SF Bay Area'],150.0,2022-06-15T00:00:00.000Z,https://www.businessinsider.com/softbank-backed-grocer-weee-laid-off-10-percent-of-its-staff-amid-a-slowdown-in-online-grocery-2022-6,863.0,0.1,https://docs.google.com/spreadsheets/d/1EqEsjTVPZMls1wXeGNrFvnXaP0B_n995pRj4KjEugG8/edit#gid=0
432,Notarize,['Boston'],110.0,2022-06-15T00:00:00.000Z,https://www.bizjournals.com/boston/news/2022/06/15/notarize-cuts-25-of-staff-in-latest-tech-layoff.html,213.0,0.25,
435,Coinbase,['SF Bay Area'],1100.0,2022-06-14T00:00:00.000Z,https://www.cnbc.com/2022/06/14/coinbase-lays-off-18percent-as-execs-prepare-for-recession-crypto-winter.html,549.0,0.18,https://coda.io/@coinbase-talent/coinbase-talent-hub/
436,Redfin,['Seattle'],470.0,2022-06-14T00:00:00.000Z,https://www.streetinsider.com/dr/news.php?id=20212223&gfv=1,319.0,0.08,https://docs.google.com/spreadsheets/d/1L5KDDuCw6SxQkJkdARHL7RQzAlWlPFmmNgziu2yq9Yk/edit#gid=1890523865
437,Compass,['New York City'],450.0,2022-06-14T00:00:00.000Z,https://www.bloomberg.com/news/articles/2022-06-14/compass-to-cut-about-10-of-workforce-amid-us-housing-slowdown#xj4y7vzkg,1600.0,0.1,
439,BlockFi,['New York City'],250.0,2022-06-13T00:00:00.000Z,https://blockfi.com/a-message-from-our-founders,1000.0,0.2,
447,OneTrust,['Atlanta'],950.0,2022-06-09T00:00:00.000Z,https://www.onetrust.com/blog/onetrust-organizational-update/,926.0,0.25,
448,Stitch Fix,['SF Bay Area'],330.0,2022-06-09T00:00:00.000Z,https://www.cnbc.com/2022/06/09/stitch-fix-is-laying-off-15percent-of-its-salaried-employees-internal-memo-says.html,79.0,0.15,https://docs.google.com/spreadsheets/d/1XrXEqj1pfaXB1YLP2p0ph-3-LeWves5VS-RQQtrv-c4/edit#gid=1264833007
455,Sonder,['SF Bay Area'],250.0,2022-06-08T00:00:00.000Z,Internal memo,839.0,0.21,
456,Truepill,['SF Bay Area'],150.0,2022-06-08T00:00:00.000Z,https://medium.com/truepill-insights/a-message-from-truepill-ceo-sid-viswanathan-9973660e2d8,255.0,0.15,
458,Bird,['Los Angeles'],138.0,2022-06-07T00:00:00.000Z,Internal memo,783.0,0.23,
459,ID.me,['Washington D.C.'],130.0,2022-06-07T00:00:00.000Z,https://www.businessinsider.com/idme-identity-verification-irs-unemployment-facial-recognition-staff-layoffs-economy-2022-6,275.0,,https://docs.google.com/spreadsheets/d/1zSWTQcva-VD-5KFck_BLhPNNj_6uTzdAcoNe-0dJgUs/edit
470,Carbon Health,['SF Bay Area'],250.0,2022-06-02T00:00:00.000Z,https://www.forbes.com/sites/katiejennings/2022/06/02/healthtech-unicorn-carbon-health-lays-off-250-employees/,522.0,0.08,
471,PolicyGenius,['New York City'],170.0,2022-06-02T00:00:00.000Z,https://techcrunch.com/2022/06/02/insurtech-policygenius-cuts-25-of-staff-less-than-3-months-after-raising-125m/,286.0,0.25,https://docs.google.com/spreadsheets/d/1syH_9d6QblvV2PRO2_7M0QlaGBMSfyzg5TP6IpE6Jjo/edit?resourcekey#gid=533572439
472,Gemini,['New York City'],100.0,2022-06-02T00:00:00.000Z,https://www.bloomberg.com/news/articles/2022-06-02/winklevoss-twins-gemini-slashes-staff-10-on-crypto-slump,423.0,0.1,
478,Cybereason,['Boston'],100.0,2022-06-01T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/s1zg60v005,750.0,0.06,
490,Lacework,['SF Bay Area'],300.0,2022-05-25T00:00:00.000Z,https://twitter.com/GergelyOrosz/status/1529575067117658112,1900.0,0.2,
491,Bolt,['SF Bay Area'],240.0,2022-05-25T00:00:00.000Z,https://www.forbes.com/sites/kenrickcai/2022/05/25/checkout-startup-bolt-lays-off-more-than-200-people-or-at-least-25-of-its-staff/?sh=1789cd092201,1300.0,0.27,https://docs.google.com/spreadsheets/u/1/d/1tFOqom0tQOvJUsJc0kYDYePIvfWPD1PComC9AWRgeUc/htmlview
498,Latch,['New York City'],130.0,2022-05-20T00:00:00.000Z,https://www.globenewswire.com/news-release/2022/05/20/2447915/0/en/Latch-resets-cost-structure.html,342.0,0.28,
501,Netflix,['SF Bay Area'],150.0,2022-05-17T00:00:00.000Z,https://www.cnbc.com/2022/05/17/netflix-lays-off-150-employees-as-the-streaming-service-contends-with-big-subscriber-losses.html,121900.0,0.01,
507,Zwift,['Los Angeles'],150.0,2022-05-12T00:00:00.000Z,https://www.dcrainmaker.com/2022/05/zwift-cancels-smart-bike-hardware-plans-announces-significant-layoffs.html,619.0,,
511,Carvana,['Phoenix'],2500.0,2022-05-10T00:00:00.000Z,https://techcrunch.com/2022/05/10/carvana-to-cut-2500-staff-as-it-struggles-with-overcapacity/,1600.0,0.12,https://docs.google.com/spreadsheets/d/1pAZXEPj7MWEGlNu8jVFbfYPnRcjGY3lsKYmeXeZ_ZCw/edit#gid=0
512,Doma,['SF Bay Area'],310.0,2022-05-10T00:00:00.000Z,https://www.housingwire.com/articles/doma-lays-off-15-of-work-force-as-q1-revenue-declines/,679.0,0.15,
514,Vroom,['New York City'],270.0,2022-05-09T00:00:00.000Z,https://www.marketwatch.com/amp/story/vroom-names-shortt-as-ceo-amid-business-realignment-shares-up-after-hours-271652132516,1300.0,0.14,
515,Reef,['Miami'],750.0,2022-05-06T00:00:00.000Z,https://www.restaurantbusinessonline.com/technology/reef-lay-5-workforce,1500.0,0.05,
525,Noom,['New York City'],495.0,2022-04-29T00:00:00.000Z,https://www.engadget.com/noom-reported-layoffs-101346556.html,657.0,,
526,Domestika,['SF Bay Area'],150.0,2022-04-28T00:00:00.000Z,https://www.epe.es/es/economia/20220428/domestika-tecnologica-despidos-ere-encubierto-13576187,130.0,0.19,
529,Robinhood,['SF Bay Area'],340.0,2022-04-26T00:00:00.000Z,https://www.cnbc.com/2022/04/26/robinhood-cutting-about-9percent-of-full-time-employees.html,5600.0,0.09,https://docs.google.com/spreadsheets/u/1/d/1UKOyPDjtQI2daJipUTQXD6cBVeim_G9slQ9puR8OPo8/htmlview?pru=AAABgJI_Z18*GfYUStSDDV20MPMAFpNAuQ
532,Blend,['SF Bay Area'],200.0,2022-04-19T00:00:00.000Z,https://www.housingwire.com/articles/blend-lays-off-200-workers-as-mortgage-industry-sputters/,665.0,0.1,https://info.crosschq.com/blend-crosschq-talent-network-access
539,Rad Power Bikes,['Seattle'],100.0,2022-04-12T00:00:00.000Z,https://www.geekwire.com/2022/rad-power-bikes-lays-off-100-employees-about-14-of-staff-after-raising-304m-last-year/,329.0,0.14,
541,Workrise,['Austin'],450.0,2022-04-05T00:00:00.000Z,https://techcrunch.com/2022/04/05/workrise-cuts-staff-verticals-after-being-valued-at-2-9b-last-year/,752.0,,https://docs.google.com/spreadsheets/d/1yEBpJ5-cT0wDSTUi2oygy6sU8opcpZEfGM9m8zMvAk8/edit#gid=0
543,Gopuff,['Philadelphia'],450.0,2022-03-29T00:00:00.000Z,https://www.theinformation.com/articles/gopuff-plans-hundreds-of-layoffs-to-cut-40-million-in-costs,3400.0,0.03,https://org.crosschq.com/recruit/campaign/2053f9a5-f765-474c-8c8e-99684cc1c908/
545,Curology,['SF Bay Area'],150.0,2022-03-16T00:00:00.000Z,https://www.bizjournals.com/sanfrancisco/news/2022/03/16/curology-skincare-sf-layoffs-funding-dtc.html,19.0,,
546,Knock,['New York City'],115.0,2022-03-15T00:00:00.000Z,https://www.bloomberg.com/news/articles/2022-03-15/startup-knock-scraps-plans-to-go-public-lays-off-half-its-staff,654.0,0.46,
549,Better.com,['New York City'],3000.0,2022-03-08T00:00:00.000Z,https://www.nytimes.com/2022/03/08/business/better-mortgage-lender-layoffs.html,905.0,0.33,
550,Adaptive Biotechnologies,['Seattle'],100.0,2022-03-08T00:00:00.000Z,https://www.geekwire.com/2022/adaptive-biotechnologies-lays-off-about-100-people-12-of-headcount-to-streamline-our-workforce/,406.0,0.12,
551,Hyperscience,['New York City'],100.0,2022-03-03T00:00:00.000Z,https://www.theinformation.com/articles/automation-firm-hyperscience-slashes-staff-loses-ceo-as-startups-face-growing-pressure,289.0,0.25,
552,Wish,['SF Bay Area'],190.0,2022-03-01T00:00:00.000Z,https://www.marketwatch.com/story/wish-stock-dives-as-holiday-sales-miss-layoffs-planned-11646170199,1600.0,0.15,
553,Virgin Hyperloop,['Los Angeles'],111.0,2022-02-21T00:00:00.000Z,https://www.ft.com/content/d87f77bd-0a0a-4512-b983-197f184f5352,368.0,0.5,
554,Homie,['Salt Lake City'],119.0,2022-02-14T00:00:00.000Z,https://www.deseret.com/utah/2022/2/14/22933350/utah-real-esate-homie-cuts-staff-amid-roiled-real-estate-market-record-home-prices-low-inventory,35.0,0.29,
555,Peloton,['New York City'],2800.0,2022-02-08T00:00:00.000Z,https://techcrunch.com/2022/02/08/peloton-ceo-steps-down-as-the-company-cuts-2800-jobs/,1900.0,0.2,
558,Gopuff,['Philadelphia'],100.0,2022-01-26T00:00:00.000Z,https://www.businessinsider.com/gopuff-eliminates-about-100-jobs-control-costs-before-potential-ipo-2022-1,3400.0,,
560,Root Insurance,['Columbus'],330.0,2022-01-20T00:00:00.000Z,https://coverager.com/root-lays-off-a-significant-number-of-employees/,527.0,,
562,Better.com,['New York City'],900.0,2021-12-01T00:00:00.000Z,https://techcrunch.com/2021/12/01/better-com-lays-off-9-of-its-staff/,905.0,0.09,
564,Zillow,['Seattle'],2000.0,2021-11-02T00:00:00.000Z,https://www.geekwire.com/2021/zillow-shutter-home-buying-business-lay-off-2k-employees-big-real-estate-bet-falters/,97.0,0.25,
567,Zymergen,['SF Bay Area'],120.0,2021-09-23T00:00:00.000Z,https://www.bizjournals.com/sanfrancisco/news/2021/09/23/zymergen-job-cuts-synthetic-biology-hyaline.html,974.0,,
574,Katerra,['SF Bay Area'],2434.0,2021-06-01T00:00:00.000Z,https://therealdeal.com/2021/06/01/troubled-construction-startup-katerra-will-shut-down-report/,1600.0,1.0,
578,New Relic,['SF Bay Area'],160.0,2021-04-06T00:00:00.000Z,https://siliconangle.com/2021/04/06/new-relic-let-go-7-employees-amid-business-model-refocus/,214.5,0.07,
584,ThredUp,['Chicago'],243.0,2021-02-09T00:00:00.000Z,https://www.chicagotribune.com/business/ct-biz-thredup-vernon-hills-layoffs-20210209-m7a47qe53vf2neztz26ouko23i-story.html,305.0,,
587,Postmates,['SF Bay Area'],180.0,2021-01-23T00:00:00.000Z,https://www.nytimes.com/2021/01/23/technology/uber-postmates-layoffs.html,763.0,0.15,
588,Instacart,['SF Bay Area'],1877.0,2021-01-21T00:00:00.000Z,https://www.bloomberg.com/news/articles/2021-01-21/instacart-to-cut-1-900-jobs-including-its-only-union-positions,2400.0,,
590,Dropbox,['SF Bay Area'],315.0,2021-01-13T00:00:00.000Z,https://www.cnbc.com/2021/01/13/dropbox-to-cut-11percent-of-its-global-workforce.html,1700.0,0.15,
597,Bridge Connector,['Nashville'],154.0,2020-11-17T00:00:00.000Z,https://www.nashvillepost.com/business/health-care/article/21144528/bridge-connector-closing-down,45.0,1.0,
613,NS8,['Las Vegas'],240.0,2020-09-11T00:00:00.000Z,https://twitter.com/VitalVegas/status/1304355796008853506,157.9,0.9500000000000001,
619,Big Fish Games,['Seattle'],250.0,2020-09-01T00:00:00.000Z,https://venturebeat.com/2020/09/01/big-fish-games-cuts-250-jobs-and-streamlines-mobile-game-operations/,95.2,,
620,Salesforce,['SF Bay Area'],1000.0,2020-08-26T00:00:00.000Z,https://www.bloomberg.com/news/articles/2020-08-26/salesforce-cuts-1-000-jobs-after-banner-quarter-stock-surge,65.4,0.018500000000000003,
627,Mozilla,['SF Bay Area'],250.0,2020-08-11T00:00:00.000Z,https://layoffs.fyi/2020/08/12/mozilla-lays-off-250-employees-launches-talent-directory/,2.3,0.25,
